Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cows' milk,1 qt.,1.0,0.6762295081967213,0.03278688524590164,0.040983606557377046,0.036885245901639344,0.0,0.04918032786885246,Dairy products
Milk skim,1 qt.,1.0,0.36585365853658536,0.036585365853658534,0.0,0.0,0.0,0.052845528455284556,Dairy products
Buttermilk,1 cup,1.0,0.516260162601626,0.036585365853658534,0.02032520325203252,0.016260162601626018,0.0,0.052845528455284556,Dairy products
"Evaporated, undiluted",1 cup,1.0,1.369047619047619,0.06349206349206349,0.07936507936507936,0.07142857142857142,0.0,0.09523809523809523,Dairy products
Fortified milk,6 cups,1.0,0.9675828047921071,0.06272022551092318,0.02959830866807611,0.01620859760394644,0.0009866102889358702,0.08386187455954898,Dairy products
Powdered milk,1 cup,1.0,5.0,0.2621359223300971,0.27184466019417475,0.23300970873786409,0.0,0.3786407766990291,Dairy products
"skim, instant",1 1/3 cups,1.0,3.411764705882353,0.35294117647058826,0.0,0.0,0.0,0.49411764705882355,Dairy products
"skim, non-instant",2/3 cup,1.0,3.411764705882353,0.35294117647058826,0.0,0.0,0.011764705882352941,0.49411764705882355,Dairy products
Goats' milk,1 cup,1.0,0.6762295081967213,0.03278688524590164,0.040983606557377046,0.03278688524590164,0.0,0.045081967213114756,Dairy products
(1/2 cup ice cream),2 cups,1.0,1.2777777777777777,0.044444444444444446,0.044444444444444446,0.040740740740740744,0.0,0.12962962962962962,Dairy products
Cocoa,1 cup,1.0,0.9325396825396826,0.031746031746031744,0.04365079365079365,0.03968253968253968,0.0,0.10317460317460317,Dairy products
skim. milk,1 cup,1.0,0.512,0.072,0.016,0.012,0.004,0.052,Dairy products
(cornstarch),1 cup,1.0,1.1088709677419355,0.036290322580645164,0.04032258064516129,0.036290322580645164,0.0,0.16129032258064516,Dairy products
Custard,1 cup,1.0,1.1491935483870968,0.05241935483870968,0.056451612903225805,0.04435483870967742,0.0,0.11290322580645161,Dairy products
Ice cream,1 cup,1.0,1.5957446808510638,0.031914893617021274,0.09574468085106383,0.0851063829787234,0.0,0.15425531914893617,Dairy products
Ice milk,1 cup,1.0,1.4473684210526316,0.04736842105263158,0.05263157894736842,0.04736842105263158,0.0,0.16842105263157894,Dairy products
Cream or half-and-half,1/2 cup,1.0,1.4166666666666667,0.03333333333333333,0.125,0.10833333333333334,0.0,0.041666666666666664,Dairy products
or whipping,1/2 cup,1.0,3.6134453781512605,0.01680672268907563,0.3697478991596639,0.226890756302521,0.008403361344537815,0.025210084033613446,Dairy products
Cheese,1 cup,1.0,1.0666666666666667,0.13333333333333333,0.04888888888888889,0.044444444444444446,0.0,0.02666666666666667,Dairy products
uncreamed,1 cup,1.0,0.8666666666666667,0.1688888888888889,0.0,0.0,0.0,0.02666666666666667,Dairy products
Cheddar,1-in. cube,1.0,4.117647058823529,0.23529411764705882,0.35294117647058826,0.29411764705882354,0.0,0.0,Dairy products
"Cheddar, grated cup",1/2 cup,1.0,4.035714285714286,0.25,0.3392857142857143,0.30357142857142855,0.0,0.017857142857142856,Dairy products
Cream cheese,1 oz.,1.0,3.75,0.07142857142857142,0.39285714285714285,0.35714285714285715,0.0,0.03571428571428571,Dairy products
Processed cheese,1 oz.,1.0,3.75,0.25,0.32142857142857145,0.2857142857142857,0.0,0.0,Dairy products
Roquefort type,1 oz.,1.0,3.75,0.21428571428571427,0.32142857142857145,0.2857142857142857,0.0,0.0,Dairy products
Swiss,1 oz.,1.0,3.75,0.25,0.2857142857142857,0.25,0.0,0.0,Dairy products
Eggs raw,2,1.0,1.5,0.12,0.12,0.1,0.0,0.0,Dairy products
Eggs Scrambled or fried,2,1.0,1.71875,0.1015625,0.125,0.109375,0.0,0.0078125,Dairy products
Yolks,2,1.0,3.5294117647058822,0.17647058823529413,0.29411764705882354,0.23529411764705882,0.0,0.0,"Fats, Oils, Shortenings"
Butter,1T.,1.0,7.142857142857143,0.0,0.7857142857142857,0.7142857142857143,0.0,0.0,"Fats, Oils, Shortenings"
Butter,1/2 cup,1.0,1.0089285714285714,1.0178571428571428,1.0267857142857142,1.0357142857142858,1.0446428571428572,1.0535714285714286,"Fats, Oils, Shortenings"
Butter,1/4 lb.,1.0,1.0089285714285714,1.0178571428571428,1.0267857142857142,1.0357142857142858,1.0446428571428572,1.0535714285714286,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,1/2 cup,1.0,6.65,0.0,1.0,0.88,0.0,0.0,"Fats, Oils, Shortenings"
Lard,1/2 cup,1.0,9.018181818181818,0.0,1.0,0.8363636363636363,0.0,0.0,"Fats, Oils, Shortenings"
Margarine,1/2 cup,1.0,7.196428571428571,0.0,0.8125,0.6785714285714286,0.0,0.0,"Fats, Oils, Shortenings"
"Margarine, 2 pat or",1 T.,1.0,7.142857142857143,0.0,0.7857142857142857,0.6428571428571429,0.0,0.0,"Fats, Oils, Shortenings"
Mayonnaise,1 T.,1.0,7.333333333333333,0.0,0.8,0.3333333333333333,0.0,0.0,"Fats, Oils, Shortenings"
Corn oil,1 T.,1.0,8.928571428571429,0.0,1.0,0.35714285714285715,0.0,0.0,"Fats, Oils, Shortenings"
Olive oil,1T.,1.0,8.928571428571429,0.0,1.0,0.21428571428571427,0.0,0.0,"Fats, Oils, Shortenings"
Safflower seed oil,1 T.,1.0,8.928571428571429,0.0,1.0,0.21428571428571427,0.0,0.0,"Fats, Oils, Shortenings"
French dressing,1 T.,1.0,4.0,0.0,0.4,0.13333333333333333,0.0,0.13333333333333333,"Fats, Oils, Shortenings"
Thousand Island sauce,1 T.,1.0,5.0,0.0,0.5333333333333333,0.2,0.0,0.06666666666666667,"Fats, Oils, Shortenings"
Salt pork,2 oz.,1.0,7.833333333333333,0.05,0.9166666666666666,0.0,0.0,0.0,"Meat, Poultry"
Bacon,2 slices,1.0,5.9375,0.25,0.5,0.4375,0.0,0.0625,"Meat, Poultry"
Beef,3 oz.,1.0,2.8823529411764706,0.27058823529411763,0.18823529411764706,0.17647058823529413,0.0,0.0,"Meat, Poultry"
Hamburger,3 oz.,1.0,2.8823529411764706,0.24705882352941178,0.2,0.17647058823529413,0.0,0.0,"Meat, Poultry"
Ground lean,3 oz.,1.0,2.176470588235294,0.2823529411764706,0.11764705882352941,0.10588235294117647,0.0,0.0,"Meat, Poultry"
Roast beef,3 oz.,1.0,4.588235294117647,0.18823529411764706,0.4235294117647059,0.4117647058823529,0.0,0.0,"Meat, Poultry"
Steak,3 oz.,1.0,3.8823529411764706,0.23529411764705882,0.3176470588235294,0.29411764705882354,0.0,0.0,"Meat, Poultry"
"Steak, lean, as round",3 oz.,1.0,2.588235294117647,0.2823529411764706,0.1411764705882353,0.12941176470588237,0.0,0.0,"Meat, Poultry"
Corned beef,3 oz.,1.0,2.176470588235294,0.25882352941176473,0.11764705882352941,0.10588235294117647,0.0,0.0,"Meat, Poultry"
Corned beef hash canned,3 oz.,1.0,1.411764705882353,0.1411764705882353,0.09411764705882353,0.08235294117647059,0.0,0.07058823529411765,"Meat, Poultry"
Corned beef hash Dried,2 oz.,1.0,2.0535714285714284,0.3392857142857143,0.07142857142857142,0.07142857142857142,0.0,0.0,"Meat, Poultry"
Pot-pie,1 pie,1.0,2.1145374449339207,0.07929515418502203,0.12334801762114538,0.11013215859030837,0.0,0.14096916299559473,"Meat, Poultry"
Corned beef hash Stew,1 cup,1.0,0.7872340425531915,0.06382978723404255,0.0425531914893617,0.03829787234042553,0.0,0.06382978723404255,"Meat, Poultry"
chicken,3 oz.,1.0,2.176470588235294,0.27058823529411763,0.10588235294117647,0.08235294117647059,0.0,0.0,"Meat, Poultry"
"Fried, breast or leg and thigh chicken",3 oz.,1.0,2.8823529411764706,0.29411764705882354,0.17647058823529413,0.12941176470588237,0.0,0.0,"Meat, Poultry"
Roasted chicken,3 1/2 oz.,1.0,2.9,0.25,0.2,0.16,0.0,0.0,"Meat, Poultry"
"Chicken livers, fried",3 med.,1.0,1.4,0.22,0.14,0.12,0.0,0.023,"Meat, Poultry"
"Duck, domestic",3 1/2 oz.,1.0,3.7,0.16,0.28,0.0,0.0,0.0,"Meat, Poultry"
